workerId	definition	coding	correct	confidence	familiarity	reactionTime	length	word	speakMaori	compMaori	maoriProf	age	gender	ethnicity	education	children	maoriList	place	duration	firstLang	firstLangCountry	anyOtherLangs	hawaii	anyPolynesian	whichPolynesian	impairments	maoriExpo	score	n.neighbors	mean.neighbor.logfreq	familiarity.latent
16ebc36e	Stars	incorrect	FALSE	2	4.82178217821782	4.828	6	aoraki	2	2	4	18-29	M	Non M	high	No	8	south	long	English	NZ	None	No	No	None	No	3	-0.858781571	2	1.869	5.622981049140176
1ac3feb6	High place	incorrect	FALSE	3	4.82178217821782	15.598	6	aoraki	0	0	0	+60	F	Non M	high	No	3	north	long	English	NZ	None	No	No	None	No	6	-0.858781571	2	1.869	5.622981049140176
74a10304	cloud piercer	correct	TRUE	2	4.82178217821782	22.435	6	aoraki	1	1	2	+60	F	Non M	undergraduate	No	4	south	long	English	NZ	None	No	No	None	No	6	-0.858781571	2	1.869	5.622981049140176
a8ba7dee	cloud piercer	correct	TRUE	3	4.82178217821782	12.096	6	aoraki	1	1	2	50-59	F	Non M	undergraduate	No	4	north	long	English	NZ	None	No	No	None	No	5	-0.858781571	2	1.869	5.622981049140176
e3b28cc0	Mount Cook	correct	TRUE	5	4.82178217821782	31.399	6	aoraki	1	1	2	18-29	F	Non M	undergraduate	No	3	south	long	English	NZ	None	No	No	None	No	6	-0.858781571	2	1.869	5.622981049140176
ad71a777	otago	incorrect	FALSE	1	4.82178217821782	11.529	6	aoraki	1	1	2	30-39	F	Non M	undergraduate	Yes	8	south	long	English	NZ	None	No	No	None	No	6	-0.858781571	2	1.869	5.622981049140176
8dc4a9cb	Mt Cook	correct	TRUE	5	4.82178217821782	7.559	6	aoraki	2	2	4	50-59	F	Non M	high	No	8	south	long	English	NZ	None	No	No	None	No	9	-0.858781571	2	1.869	5.622981049140176
0a88b907			FALSE	1	4.82178217821782	3.507	6	aoraki	1	1	2	18-29	M	Non M	undergraduate	No	1	north	long	English	NZ	None	No	No	None	No	4	-0.858781571	2	1.869	5.622981049140176
fa5c8488	Cloud piercer Mt cook	correct	TRUE	5	4.82178217821782	18.364	6	aoraki	1	1	2	40-49	F	Non M	graduate	Yes	6	south	long	English	NZ	fra	No	No	None	No	9	-0.858781571	2	1.869	5.622981049140176
36cfbe09	Mt Cook	correct	TRUE	5	4.82178217821782	6.455	6	aoraki	2	1	3	+60	F	Non M	graduate	No	9	south	long	English	NZ	None	No	No	None	No	10	-0.858781571	2	1.869	5.622981049140176
c369511b	Mount Cook	correct	TRUE	4	4.82178217821782	6.264	6	aoraki	1	1	2	18-29	M	Non M	undergraduate	No	3	south	long	English	NZ	None	No	No	None	No	8	-0.858781571	2	1.869	5.622981049140176
cc1c1267			FALSE	5	4.82178217821782	2.564	6	aoraki	1	1	2	30-39	M	Non M	undergraduate	No	4	north	long	English	NZ	None	No	No	None	No	5	-0.858781571	2	1.869	5.622981049140176
3fcb1b69	Kai Tahu dialect for Aorangi formerly Mt Cook	correct	TRUE	5	4.82178217821782	29.186	6	aoraki	1	2	3	18-29	M	Non M	graduate	No	9	north	short	English	NZ	None	No	No	None	No	8	-0.858781571	2	1.869	5.622981049140176
4dd9cd15	Gold?	incorrect	FALSE	1	4.82178217821782	18.308	6	aoraki	1	1	2	50-59	M	Non M	graduate	No	3	north	long	English	NZ	None	No	No	None	No	10	-0.858781571	2	1.869	5.622981049140176
23bebf1a	Mt Cook	correct	TRUE	5	4.82178217821782	9.288	6	aoraki	1	1	2	40-49	F	Non M	undergraduate	No	8	north	long	English	NZ	None	No	No	None	No	8	-0.858781571	2	1.869	5.622981049140176
4638ab83			FALSE	5	4.82178217821782	13.993	6	aoraki	1	2	3	50-59	F	Non M	undergraduate	No	9	north	long	English	NZ	None	No	No	None	No	6	-0.858781571	2	1.869	5.622981049140176
6b45214b	Mt cook	correct	TRUE	3	4.82178217821782	6.255	6	aoraki	1	1	2	40-49	F	Non M	graduate	Yes	8	north	long	English	NZ	None	No	No	None	No	6	-0.858781571	2	1.869	5.622981049140176
3d5fdc9a	Auckland	incorrect	FALSE	3	4.82178217821782	11.725	6	aoraki	1	1	2	40-49	F	Non M	graduate	No	6	overseas	long	English	NZ	None	No	No	None	No	2	-0.858781571	2	1.869	5.622981049140176
38a2dff5			FALSE	3	4.82178217821782	5.744	6	aoraki	1	1	2	30-39	M	Non M	undergraduate	Yes	4	north	long	English	NZ	None	No	No	None	No	6	-0.858781571	2	1.869	5.622981049140176
