item,length,logprob,ppl,ppl1,score
ako,3,-5.216586,20.14403,54.81026,-1.3041465
aoraki,6,-8.918912,18.7988,30.65387,-1.274130286
aotearoa,8,-9.964941,12.80017,17.60426,-1.107215667
aroha,5,-7.293892,16.43042,28.7593,-1.215648667
atua,4,-5.351873,11.75911,21.7755,-1.0703746
awa,3,-5.648877,25.83563,76.37634,-1.41221925
haeremai,8,-7.604239,6.997058,8.923391,-0.844915444
haka,4,-5.828765,14.64714,28.65439,-1.165753
haNi,4,-5.483741,12.49534,23.49283,-1.0967482
hapU,4,-6.874704,23.7105,52.32099,-1.3749408
hIkoi,5,-7.771689,19.73701,35.8375,-1.2952815
hOhA,4,-6.481387,19.78232,41.72023,-1.2962774
hoki,4,-4.992773,9.966773,17.70897,-0.9985546
hoNi,4,-7.165604,27.10946,61.85873,-1.4331208
hope,4,-7.747589,35.44196,86.47632,-1.5495178
hui,3,-5.499416,23.70577,68.0987,-1.374854
ihu,3,-5.944112,30.62161,95.80114,-1.486028
iti,3,-4.69169,14.89096,36.63505,-1.1729225
iwa,3,-5.388963,22.24543,62.56352,-1.34724075
iwi,3,-4.634143,14.40575,35.05213,-1.15853575
kaha,4,-5.050462,10.23511,18.30693,-1.0100924
kahuraNi,8,-7.843616,7.438972,9.559871,-0.871512889
kai,3,-4.325175,12.05851,27.6519,-1.08129375
kaimoana,8,-8.828245,9.570093,12.69202,-0.980916111
kAiNa,5,-5.386561,7.902421,11.94847,-0.897760167
kaitiaki,8,-8.509875,8.821484,11.58069,-0.945541667
kaifakahaere,12,-9.513243,5.392472,6.205407,-0.731787923
kAkAriki,8,-9.128484,10.33418,13.83759,-1.014276
kapahaka,8,-8.357575,8.484367,11.08401,-0.928619444
karakia,7,-6.768094,7.014742,9.265535,-0.84601175
karaNa,6,-5.522546,6.150851,8.32577,-0.788935143
karu,4,-5.57171,13.01194,24.71312,-1.114342
katoa,5,-5.70001,8.912545,13.80391,-0.950001667
kaumAtua,8,-7.619188,7.023869,8.961867,-0.846576444
kaupapa,7,-6.534049,6.557769,8.578979,-0.816756125
kAwanataNa,10,-8.417431,5.823995,6.946132,-0.765221
kiakaha,7,-6.776175,7.031077,9.290197,-0.847021875
kiaora,6,-6.536766,8.586648,12.28743,-0.933823714
koha,4,-5.725439,13.96651,26.99975,-1.1450878
kOhaNa,6,-7.606583,12.20829,18.52524,-1.086654714
kOrero,6,-5.923516,7.018051,9.710747,-0.846216571
koro,4,-4.786374,9.063059,15.7251,-0.9572748
korowai,7,-7.856815,9.596258,13.25569,-0.982101875
koru,4,-5.214958,11.04057,20.12517,-1.0429916
kOfai,5,-8.098109,22.37097,41.65065,-1.349684833
kuia,4,-5.408857,12.07178,22.50164,-1.0817714
kura,4,-4.483059,7.881552,13.2058,-0.8966118
kurI,4,-6.399392,19.04927,39.79678,-1.2798784
mahi,4,-4.644081,8.488211,14.48839,-0.9288162
mana,4,-4.962127,9.827101,17.3993,-0.9924254
manuhiri,8,-10.16755,13.48116,18.66136,-1.129727778
mAori,5,-4.954187,6.694188,9.791235,-0.825697833
marae,5,-6.781275,13.49623,22.71198,-1.1302125
matariki,8,-8.451985,8.691793,11.38933,-0.939109444
mate,4,-5.384123,11.93506,22.18354,-1.0768246
mauI,4,-8.612902,52.7935,142.3068,-1.7225804
mauNa,5,-6.529675,12.25404,20.22717,-1.088279167
mAfero,6,-8.216287,14.91954,23.40891,-1.173755286
mere,4,-5.448685,12.29524,23.0235,-1.089737
mihi,4,-5.872857,14.9476,29.391,-1.1745714
moana,5,-6.323175,11.32042,18.39226,-1.0538625
moko,4,-5.864805,14.89227,29.25508,-1.172961
mokopuna,8,-9.239137,10.63092,14.28539,-1.026570778
mOrena,6,-7.947946,13.65906,21.11823,-1.135420857
motu,4,-6.907376,24.06995,53.31434,-1.3814752
noho,4,-5.928454,15.33525,30.34684,-1.1856908
nui,3,-5.225115,20.24319,55.17027,-1.30627875
ono,3,-5.683358,26.35357,78.42465,-1.4208395
ora,3,-5.486277,23.52715,67.41541,-1.37156925
pai,3,-4.65211,14.55551,35.53884,-1.1630275
pAkehA,6,-7.820643,13.0989,20.11132,-1.117234714
paNo,4,-8.316703,46.06176,119.9985,-1.6633406
papa,4,-5.110075,10.51998,18.94605,-1.022015
papatUAnuku,11,-12.99674,12.10771,15.18875,-1.083061667
poi,3,-6.709261,47.56804,172.3536,-1.67731525
pokohiwi,8,-10.66027,15.29237,21.50474,-1.184474444
pounamu,7,-9.934812,17.45225,26.25783,-1.2418515
pOfiri,6,-8.583534,16.83523,26.95187,-1.226219143
puke,4,-6.951071,24.5592,54.67236,-1.3902142
puku,4,-6.59194,20.81555,44.46158,-1.318388
raNatira,8,-8.113031,7.969808,10.33068,-0.901447889
raNatirataNa,12,-10.94328,6.946898,8.164699,-0.841790769
raNi,4,-5.454809,12.32996,23.1048,-1.0909618
raNinui,7,-9.051851,13.53572,19.6391,-1.131481375
reo,3,-5.586404,24.92304,72.80055,-1.396601
rima,4,-6.90356,24.02768,53.19734,-1.380712
riNariNa,8,-10.15254,13.4295,18.58092,-1.12806
roto,4,-7.045507,25.65082,57.72669,-1.4091014
rua,3,-4.981615,17.59558,45.7655,-1.24540375
tahi,4,-4.641243,8.477124,14.46474,-0.9282486
taiaha,6,-7.934936,13.60073,21.01307,-1.133562286
taihoa,6,-7.393205,11.38078,17.06872,-1.056172143
tamariki,8,-8.07283,7.888258,10.21183,-0.896981111
tAne,4,-6.452236,19.51854,41.02599,-1.2904472
tANata,6,-7.550517,11.9852,18.1309,-1.078645286
taNatafenua,11,-10.37365,7.31932,8.771199,-0.864470833
taNi,4,-5.049693,10.23149,18.29883,-1.0099386
tanifa,6,-10.61765,32.87056,58.83128,-1.516807143
taoNa,5,-6.912214,14.19174,24.12364,-1.152035667
tapu,4,-6.324077,18.3999,38.10827,-1.2648154
tariNa,6,-7.724485,12.69106,19.38269,-1.103497857
teina,5,-6.817411,13.6847,23.0931,-1.136235167
tekau,5,-5.298683,7.640361,11.47458,-0.883113833
tEnAkoe,7,-6.0928,5.775638,7.419933,-0.7616
tEnAkoutou,10,-7.947837,5.278745,6.234243,-0.722530636
tikaNa,6,-6.924154,9.753598,14.25692,-0.989164857
tiki,4,-5.27806,11.36612,20.86965,-1.055612
tohuNa,6,-7.603207,12.19474,18.50125,-1.086172429
toru,4,-6.992224,25.02907,55.98298,-1.3984448
tuakana,7,-7.648935,9.038927,12.37955,-0.956116875
tupuna,6,-7.337914,11.17567,16.71036,-1.048273429
turituri,8,-9.985216,12.86674,17.70729,-1.109468444
upoko,5,-8.889135,30.30557,59.95521,-1.4815225
utu,3,-6.709309,47.56935,172.3599,-1.67732725
waewae,6,-8.738992,17.71852,28.60873,-1.248427429
waha,4,-6.244614,17.73874,36.40436,-1.2489228
wAhitapu,8,-10.75213,15.65602,22.08089,-1.194681111
wahine,6,-7.704523,12.608,19.23477,-1.100646143
wai,3,-4.841849,16.23537,41.11022,-1.21046225
waiata,6,-7.374893,11.31244,16.94919,-1.053556143
waka,4,-6.113166,16.6968,33.75138,-1.2226332
wAnaNa,6,-7.698715,12.58393,19.19195,-1.099816429
waru,4,-6.746096,22.347,48.58743,-1.3492192
faea,4,-6.57961,20.69769,44.14713,-1.315922
fakapapa,8,-7.143692,6.21933,7.815586,-0.793743556
fakaroNo,8,-8.383591,8.541028,11.16732,-0.931510111
fanau,5,-7.224667,15.99968,27.85694,-1.204111167
fANai,5,-7.05716,15.00353,25.78886,-1.176193333
fare,4,-5.615676,13.27808,25.34655,-1.1231352
fenua,5,-6.335145,11.37254,18.49392,-1.0558575
fero,4,-6.710358,21.98223,47.5981,-1.3420716
fitu,4,-7.199479,27.53568,63.07682,-1.4398958
ahatiati,8,-9.80586,12.28966,16.81638,-1.08954
ahiahake,8,-8.615965,9.064199,11.93976,-0.957329444
amu,3,-6.156211,34.59814,112.738,-1.53905275
ape,3,-7.284261,66.2316,267.9705,-1.82106525
apEhia,6,-8.271661,15.19378,23.91168,-1.181665857
arane,5,-7.544151,18.08666,32.27232,-1.2573585
ario,4,-6.415907,19.1947,40.17692,-1.2831814
eha,3,-4.934222,17.12204,44.13067,-1.2335555
eko,3,-4.803942,15.88494,39.93136,-1.2009855
haeo,4,-5.967077,15.61045,31.02911,-1.1934154
hakaatU,7,-8.947693,13.13596,18.97763,-1.118461625
hAno,4,-7.686959,34.46607,83.51024,-1.5373918
hepaua,6,-7.41924,11.47867,17.24011,-1.059891429
hepiti,6,-7.830717,13.14237,20.18922,-1.118673857
hewe,4,-5.998457,15.83767,31.5947,-1.1996914
hiamu,5,-7.454993,17.47828,30.97409,-1.242498833
hiNi,4,-7.249002,28.17088,64.90087,-1.4498004
hiu,3,-7.514377,75.61261,319.7366,-1.87859425
hoeNaima,8,-10.29394,13.92424,19.35276,-1.143771111
hoihoko,7,-8.88097,12.88609,18.56564,-1.11012125
hOke,4,-8.562185,51.57474,138.2122,-1.712437
horetI,6,-9.790798,25.04295,42.83509,-1.398685429
howaka,6,-8.620183,17.03942,27.33362,-1.231454714
hueNi,5,-8.45927,25.69676,49.18741,-1.409878333
hUku,4,-8.106797,41.81763,106.3406,-1.6213594
humo,4,-8.384492,47.5224,124.7737,-1.6768984
huNe,4,-8.620753,52.98472,142.9514,-1.7241506
hupU,4,-8.285712,45.40905,117.8767,-1.6571424
ihiri,5,-7.141055,15.49444,26.8047,-1.190175833
ikau,4,-5.497915,12.57717,23.68529,-1.099583
iko,3,-4.819575,16.02853,40.41335,-1.20489375
iNa,3,-4.697166,14.93797,36.78934,-1.1742915
iNi,3,-5.485648,23.51863,67.38285,-1.371412
iniata,6,-8.173931,14.71311,23.03148,-1.167704429
ino,3,-5.054437,18.34887,48.39633,-1.26360925
ire,3,-4.707302,15.02538,37.07667,-1.1768255
iru,3,-4.876725,16.56461,42.22553,-1.21918125
kawaa,5,-6.508039,12.15271,20.02662,-1.084673167
kAweroni,8,-9.734896,12.06855,16.47639,-1.081655111
kafa,4,-6.71809,22.06063,47.81041,-1.343618
kafakafa,8,-8.943715,9.85703,13.12092,-0.993746111
kafania,7,-9.414862,15.0265,22.12995,-1.17685775
kafafani,8,-10.54789,14.85894,20.82026,-1.171987778
kemoramo,8,-11.77493,20.33881,29.63918,-1.308325556
kepi,4,-6.929299,24.31418,53.99141,-1.3858598
kiNiro,6,-8.174248,14.71464,23.03428,-1.167749714
kitO,4,-5.143608,10.6837,19.31532,-1.0287216
kOioromApara,12,-18.29652,25.55199,33.47419,-1.407424615
komekua,7,-8.260827,10.77962,15.13973,-1.032603375
kOmuafiu,8,-11.918,21.09707,30.88517,-1.324222222
kOua,4,-7.636685,33.67728,81.12808,-1.527337
kUhatapO,8,-13.3307,30.28231,46.38073,-1.481188889
kupO,4,-6.063953,16.32265,32.80864,-1.2127906
kUro,4,-8.35357,46.85048,122.5724,-1.670714
kUfati,6,-11.87933,49.77909,95.47465,-1.697047143
mAheneketoa,11,-13.71116,13.88662,17.63879,-1.142596667
makei,5,-6.294465,11.19638,18.15068,-1.0490775
mamatOhI,8,-13.62008,32.60934,50.4092,-1.513342222
maNo,4,-8.223992,44.13656,113.7622,-1.6447984
mAorawau,8,-9.242144,10.6391,14.29776,-1.026904889
mAorua,6,-6.056226,7.331202,10.21812,-0.865175143
mautAmu,7,-10.45529,20.2727,31.16113,-1.30691125
mAwi,4,-7.045286,25.64822,57.71937,-1.4090572
meahua,6,-6.093714,7.422165,10.36619,-0.870530571
mero,4,-5.745296,14.09481,27.31014,-1.1490592
mie,3,-7.191699,62.79495,249.5933,-1.79792475
mihea,5,-6.607535,12.62571,20.96559,-1.101255833
mini,4,-6.601306,20.90553,44.70194,-1.3202612
moapi,5,-8.815711,29.46356,57.96184,-1.469285167
moeo,4,-7.209173,27.65888,63.42977,-1.4418346
mOha,4,-5.458363,12.35016,23.15211,-1.0916726
mONa,4,-6.552372,20.43969,43.46032,-1.3104744
muNi,4,-8.571296,51.79159,138.939,-1.7142592
mupati,6,-9.092446,19.90311,32.76482,-1.298920857
naipu,5,-7.957265,21.1939,39.03489,-1.326210833
nANa,4,-5.470375,12.41867,23.31277,-1.094075
natoi,5,-7.992712,21.48417,39.67732,-1.332118667
neetia,6,-8.602691,16.94165,27.15075,-1.228955857
nema,4,-7.383695,29.9736,70.1332,-1.476739
Nae,3,-6.904536,53.22725,200.2221,-1.726134
Naena,5,-9.329261,35.88202,73.42639,-1.554876833
Napoto,6,-10.92815,36.40526,66.27628,-1.561164286
NafAniti,8,-12.71053,25.83932,38.79861,-1.412281111
Nehi,4,-9.872121,94.28102,293.7855,-1.9744242
Nema,4,-10.42007,121.3426,402.7325,-2.084014
Nemetata,8,-13.62229,32.62777,50.44124,-1.513587778
Nepa,4,-10.50209,126.0139,422.2048,-2.100418
Noa,3,-6.15175,34.50941,112.3527,-1.5379375
Nue,3,-9.84415,289.093,1911.54,-2.4610375
Nuta,4,-9.176458,68.43709,196.8405,-1.8352916
nia,3,-6.645905,45.86445,164.1729,-1.66147625
niaire,6,-10.07222,27.47188,47.72029,-1.438888571
niakafa,7,-11.61182,28.2799,45.58603,-1.4514775
niapukau,8,-11.30358,18.02823,25.87898,-1.255953333
niauti,6,-10.82992,35.24771,63.82431,-1.547131429
niafani,7,-12.16971,33.20578,54.76838,-1.52121375
niafihia,8,-12.83454,26.67229,40.2085,-1.42606
nito,4,-8.826506,58.25071,160.9261,-1.7653012
nitumaotaha,11,-15.03132,17.88998,23.25324,-1.25261
nOitia,6,-7.184804,10.62675,15.75678,-1.026400571
nopo,4,-8.543181,51.12534,136.7084,-1.7086362
nue,3,-6.895287,52.9446,198.8057,-1.72382175
nuhi,4,-6.772815,22.62366,49.34051,-1.354563
nure,4,-7.483694,31.38621,74.28883,-1.4967388
nuti,4,-7.557781,32.47553,77.52562,-1.5115562
pahapA,6,-9.086528,19.8644,32.69048,-1.298075429
pAhApAko,8,-11.13774,17.27933,24.67277,-1.237526667
paihoui,7,-8.852532,12.78105,18.39278,-1.1065665
pAuki,5,-9.252322,34.83804,70.87032,-1.542053667
paurounu,8,-12.73403,25.99517,39.06199,-1.414892222
pAfi,4,-8.227779,44.2136,114.0105,-1.6455558
peu,3,-10.1089,336.6856,2342.247,-2.527225
pewe,4,-9.321661,73.16986,214.0007,-1.8643322
pie,3,-7.46978,73.69618,308.9774,-1.867445
pIhu,4,-9.096871,65.97422,188.026,-1.8193742
pikeko,6,-8.697997,17.48119,28.16217,-1.242571
pINi,4,-7.476367,31.28048,73.97616,-1.4952734
poraki,6,-8.19412,14.81114,23.21062,-1.170588571
porakipukau,11,-12.98812,12.08769,15.16137,-1.082343333
pote,4,-6.466908,19.65086,41.37396,-1.2933816
pukau,5,-6.898825,14.11901,23.97536,-1.149804167
pukaunia,8,-10.48241,14.6121,20.43157,-1.164712222
pume,4,-7.519331,31.90555,75.82856,-1.5038662
pUno,4,-8.120379,42.08001,107.1753,-1.6240758
puora,5,-8.015527,21.6731,40.0964,-1.335921167
pUrafa,6,-10.93825,36.52647,66.5338,-1.562607143
pUtio,5,-9.476554,37.9687,78.57979,-1.579425667
pUfi,4,-9.589212,82.76418,249.6336,-1.9178424
rahue,5,-8.674336,27.90762,54.30843,-1.445722667
raNu,4,-7.75588,35.57754,86.89003,-1.551176
