item,length,logprob,ppl,ppl1,score
ako,3,-4.402502,12.6074,29.34273,-1.1006255
aoraki,6,-7.200657,10.68231,15.85293,-1.028665286
aotearoa,8,-9.40955,11.10467,15.00354,-1.045505556
aroha,5,-5.547438,8.405684,12.86731,-0.924573
atua,4,-4.44437,7.742371,12.91494,-0.888874
awa,3,-3.777329,8.796953,18.15974,-0.94433225
haeremai,8,-8.173042,8.093117,10.51067,-0.908115778
haka,4,-3.725929,5.561421,8.540479,-0.7451858
haNi,4,-3.702668,5.502164,8.426883,-0.7405336
hapU,4,-4.543022,8.102229,13.66959,-0.9086044
hIkoi,5,-5.477997,8.18464,12.46234,-0.9129995
hOhA,4,-4.622776,8.405338,14.31179,-0.9245552
hoki,4,-3.874608,5.955546,9.30362,-0.7749216
hoNi,4,-4.208261,6.944679,11.27367,-0.8416522
hope,4,-4.39913,7.582736,12.58295,-0.879826
hui,3,-3.66494,8.245843,16.65892,-0.916235
ihu,3,-4.778157,15.65089,39.14884,-1.19453925
iti,3,-4.569549,13.87993,33.3567,-1.14238725
iwa,3,-4.227655,11.40023,25.65773,-1.05691375
iwi,3,-4.44404,12.91249,30.29332,-1.11101
kaha,4,-3.629707,5.320365,8.080287,-0.7259414
kahuraNi,8,-6.336368,5.058723,6.195067,-0.704040889
kai,3,-2.935319,5.417884,9.515675,-0.73382975
kaimoana,8,-7.669077,7.114095,9.091481,-0.852119667
kAiNa,5,-4.24043,5.090242,7.048328,-0.706738333
kaitiaki,8,-6.788043,5.678413,7.055135,-0.754227
kaifakahaere,12,-8.563445,4.557499,5.171546,-0.658726538
kAkAriki,8,-6.203975,4.890245,5.963441,-0.689330556
kapahaka,8,-6.551687,5.345216,6.591145,-0.727965222
karakia,7,-5.654101,5.090525,6.422864,-0.706762625
karaNa,6,-3.78497,3.473041,4.273939,-0.54071
karu,4,-3.589553,5.222886,7.895656,-0.7179106
katoa,5,-4.794165,6.295461,9.095635,-0.7990275
kaumAtua,8,-6.574873,5.377017,6.635277,-0.730541444
kaupapa,7,-6.310971,6.149946,7.971999,-0.788871375
kAwanataNa,10,-7.233127,4.545242,5.288258,-0.657557
kiakaha,7,-7.617281,8.956948,12.25132,-0.952160125
kiaora,6,-7.935876,13.60494,21.02064,-1.133696571
koha,4,-3.777773,5.695799,8.799203,-0.7555546
kOhaNa,6,-4.419347,4.278931,5.452025,-0.631335286
kOrero,6,-4.958021,5.108445,6.704044,-0.708288714
koro,4,-2.881653,3.769906,5.25307,-0.5763306
korowai,7,-5.699142,5.156948,6.518733,-0.71239275
koru,4,-3.592104,5.229027,7.907262,-0.7184208
kOfai,5,-5.263558,7.538062,11.29046,-0.877259667
kuia,4,-4.134901,6.713982,10.8075,-0.8269802
kura,4,-3.776621,5.692778,8.79337,-0.7553242
kurI,4,-3.710387,5.521757,8.464409,-0.7420774
mahi,4,-3.436657,4.867785,7.230433,-0.6873314
mana,4,-3.002387,3.985449,5.631144,-0.6004774
manuhiri,8,-6.791235,5.683052,7.06162,-0.754581667
mAori,5,-5.072879,7.006155,10.34131,-0.845479833
marae,5,-5.075942,7.014398,10.35592,-0.845990333
matariki,8,-6.049509,4.700755,5.704119,-0.672167667
mate,4,-3.638127,5.341035,8.119547,-0.7276254
mauI,4,-4.582351,8.25031,13.9826,-0.9164702
mauNa,5,-4.479051,5.578386,7.86702,-0.7465085
mAfero,6,-6.094226,7.423414,10.36822,-0.870603714
mere,4,-4.248945,7.07602,11.54081,-0.849789
mihi,4,-4.222498,6.99036,11.36644,-0.8444996
moana,5,-5.099497,7.078092,10.46886,-0.849916167
moko,4,-4.043815,6.438178,10.25543,-0.808763
mokopuna,8,-6.878119,5.810793,7.240438,-0.764235444
mOrena,6,-6.188649,7.6576,10.75082,-0.884092714
motu,4,-4.537664,8.082258,13.62749,-0.9075328
noho,4,-4.91222,9.60382,16.90655,-0.982444
nui,3,-3.98868,9.93505,21.35798,-0.99717
ono,3,-4.166255,11.00433,24.47662,-1.04156375
ora,3,-4.021834,10.12648,21.90844,-1.0054585
pai,3,-3.351561,6.884782,13.09746,-0.83789025
pAkehA,6,-6.27363,7.874678,11.10721,-0.896232857
paNo,4,-4.599303,8.31497,14.11971,-0.9198606
papa,4,-3.70965,5.519885,8.460823,-0.74193
papatUAnuku,11,-9.978436,6.784789,8.074778,-0.831536333
poi,3,-3.464828,7.348642,14.28706,-0.866207
pokohiwi,8,-7.143804,6.219508,7.815838,-0.793756
pounamu,7,-6.912772,7.313015,9.717148,-0.8640965
pOfiri,6,-5.306597,5.729085,7.6636,-0.758085286
puke,4,-3.654851,5.382328,8.19809,-0.7309702
puku,4,-3.456737,4.913008,7.314495,-0.6913474
raNatira,8,-7.103429,6.155592,7.725535,-0.789269889
raNatirataNa,12,-9.256533,5.152773,5.907146,-0.712041
raNi,4,-3.72952,5.570627,8.558155,-0.745904
raNinui,7,-7.915788,9.760534,13.51534,-0.9894735
reo,3,-4.555106,13.76501,32.98896,-1.1387765
rima,4,-5.401864,12.03297,22.41124,-1.0803728
riNariNa,8,-7.58324,6.959567,8.86962,-0.842582222
roto,4,-4.694816,8.688869,14.91778,-0.9389632
rua,3,-3.200481,6.31132,11.66345,-0.80012025
tahi,4,-3.417135,4.824218,7.149631,-0.683427
taiaha,6,-6.630083,8.854309,12.73543,-0.947154714
taihoa,6,-5.459707,6.025015,8.127392,-0.779958143
tamariki,8,-6.577926,5.381218,6.64111,-0.730880667
tAne,4,-4.29274,7.220181,11.83546,-0.858548
tANata,6,-4.711305,4.710245,6.098421,-0.673043571
taNatafenua,11,-8.604238,5.212186,6.056246,-0.717019833
taNi,4,-3.156465,4.278515,6.153416,-0.631293
tanifa,6,-6.746556,9.200124,13.3176,-0.963793714
taoNa,5,-4.751507,6.193238,8.918695,-0.791917833
tapu,4,-3.934225,6.121318,9.628445,-0.786845
tariNa,6,-4.686623,4.672158,6.04093,-0.669517571
teina,5,-5.928417,9.729029,15.33499,-0.9880695
tekau,5,-5.918961,9.693789,15.26836,-0.9864935
tEnAkoe,7,-8.611238,11.92353,16.98936,-1.07640475
tEnAkoutou,10,-12.0208,12.38227,15.92503,-1.0928
tikaNa,6,-5.387875,5.884321,7.906406,-0.769696429
tiki,4,-3.861755,5.920399,9.235038,-0.772351
tohuNa,6,-4.866772,4.957391,6.473344,-0.695253143
toru,4,-4.102681,6.615098,10.6089,-0.8205362
tuakana,7,-5.756606,5.24295,6.643122,-0.71957575
tupuna,6,-5.170693,5.47861,7.274148,-0.738670429
turituri,8,-7.213432,6.331293,7.97405,-0.801492444
upoko,5,-6.217875,10.87208,17.52165,-1.0363125
utu,3,-4.32814,12.07911,27.7149,-1.082035
waewae,6,-6.323262,8.004295,11.3208,-0.903323143
waha,4,-4.147277,6.752358,10.88477,-0.8294554
wAhitapu,8,-7.843757,7.439241,9.56026,-0.871528556
wahine,6,-5.92077,7.011715,9.700518,-0.845824286
