item,length,logprob,ppl,ppl1,score
ako,3,-3.625091,8.05884402,16.15710944,-0.90627275
aoraki,6,-6.011471,7.224063777,10.04411863,-0.858781571
aotearoa,8,-9.161142,10.42088652,13.96827414,-1.017904667
aroha,5,-5.098737,7.076027303,10.46519681,-0.8497895
atua,4,-4.328135,7.338832913,12.07907701,-0.865627
awa,3,-3.303756,6.697905256,12.62559924,-0.825939
haeremai,8,-7.036046,6.050383303,7.577147648,-0.781782889
haka,4,-3.282464,4.534117808,6.616312355,-0.6564928
haNi,4,-3.990338,6.281561267,9.944535444,-0.7980676
hapU,4,-3.653841,5.379825635,8.193326281,-0.7307682
hIkoi,5,-5.100199,7.079998516,10.47224514,-0.850033167
hOhA,4,-3.921781,6.086339865,9.559721713,-0.7843562
hoki,4,-3.700324,5.496228756,8.415520844,-0.7400648
hoNi,4,-3.739382,5.595983174,8.606875087,-0.7478764
hope,4,-3.956747,6.185138088,9.75408981,-0.7913494
hui,3,-3.566004,7.789346081,15.44073608,-0.891501
ihu,3,-4.273271,11.70355364,26.57196469,-1.06831775
iti,3,-3.389219,7.035658479,13.48154503,-0.84730475
iwa,3,-3.622565,8.047134311,16.12581476,-0.90564125
iwi,3,-3.922725,9.564917974,20.30369122,-0.98068125
kaha,4,-3.311473,4.595096116,6.727725293,-0.6622946
kahuraNi,8,-6.84029,5.754826333,7.162031883,-0.760032222
kai,3,-2.934953,5.41674324,9.513003722,-0.73373825
kaimoana,8,-7.465078,6.752321482,8.573038025,-0.829453111
kAiNa,5,-4.208236,5.02773833,6.944599424,-0.701372667
kaitiaki,8,-6.917008,5.868896416,7.321937206,-0.768556444
kaifakahaere,12,-10.226914,6.119073817,7.116112959,-0.786685692
kAkAriki,8,-5.992931,4.633201862,5.611983365,-0.665881222
kapahaka,8,-6.035598,4.684055152,5.68132652,-0.670622
karakia,7,-5.44149,4.788354,5.989019323,-0.68018625
karaNa,6,-4.013179,3.743788326,4.665123729,-0.573311286
karu,4,-3.407612,4.80310853,7.110546813,-0.6815224
katoa,5,-4.863668,6.465637223,9.391470529,-0.810611333
kaumAtua,8,-6.592293,5.401035104,6.668630049,-0.732477
kaupapa,7,-6.010171,5.639899628,7.220975262,-0.751271375
kAwanataNa,10,-7.288899,4.598616379,5.356608424,-0.662627182
kiakaha,7,-6.253017,6.048213664,7.82146566,-0.781627125
kiaora,6,-6.066096,7.35504176,10.25689713,-0.866585143
koha,4,-3.596066,5.23857541,7.925314403,-0.7192132
kOhaNa,6,-4.774356,4.808956594,6.247783905,-0.682050857
kOrero,6,-4.964999,5.120184039,6.722020511,-0.709285571
koro,4,-3.109442,4.186859622,5.989085319,-0.6218884
korowai,7,-6.248671,6.040652808,7.810292265,-0.781083875
koru,4,-3.502271,5.017116665,7.508751816,-0.7004542
kOfai,5,-4.985201,6.774337559,9.932079794,-0.830866833
kuia,4,-3.520977,5.060522964,7.590043239,-0.7041954
kura,4,-3.735715,5.586541123,8.58872604,-0.747143
kurI,4,-3.669795,5.419497247,8.268919234,-0.733959
mahi,4,-2.97213,3.930302703,5.533915202,-0.594426
mana,4,-2.821777,3.667375674,5.075095863,-0.5643554
manuhiri,8,-7.189286,6.292301958,7.918825082,-0.798809556
mAori,5,-4.478988,5.578250333,7.866790778,-0.746498
marae,5,-4.507101,5.638758568,7.969300442,-0.7511835
matariki,8,-5.74463,4.348026899,5.224909229,-0.638292222
mate,4,-3.517327,5.052023941,7.574112474,-0.7034654
mauI,4,-4.086479,6.565923221,10.51041223,-0.8172958
mauNa,5,-4.141349,4.900324425,6.733948645,-0.690224833
mAfero,6,-5.976842,7.142242167,9.911521636,-0.853834571
mere,4,-3.384826,4.752971389,7.017889084,-0.6769652
mihi,4,-3.368712,4.71783122,6.953092387,-0.6737424
moana,5,-4.640226,5.934320528,8.473155955,-0.773371
moko,4,-3.519748,5.057659643,7.584675416,-0.7039496
mokopuna,8,-6.573349,5.374921318,6.632368149,-0.730372111
mOrena,6,-5.24116,5.60708504,7.47354522,-0.748737143
motu,4,-3.855399,5.903095374,9.20131185,-0.7710798
noho,4,-3.949584,6.164768889,9.713953048,-0.7899168
nui,3,-3.505633,7.523297746,14.74159017,-0.87640825
ono,3,-3.728125,8.551282421,17.48671908,-0.93203125
ora,3,-3.574378,7.826984973,15.54029767,-0.8935945
pai,3,-3.036341,5.742291697,10.28285393,-0.75908525
pAkehA,6,-5.134456,5.413694124,7.173691012,-0.733493714
paNo,4,-4.162184,6.798870983,10.97857568,-0.8324368
papa,4,-3.422209,4.835504591,7.170546393,-0.6844418
papatUAnuku,11,-9.650314,6.370783306,7.538783524,-0.804192833
poi,3,-3.227991,6.412062546,11.91233779,-0.80699775
pokohiwi,8,-7.047681,6.068420498,7.602564703,-0.783075667
pounamu,7,-6.554846,6.597140752,8.637868166,-0.81935575
pOfiri,6,-5.749492,6.627595586,9.083404754,-0.821356
puke,4,-3.575045,5.188107903,7.829990768,-0.715009
puku,4,-3.547617,5.122988724,7.707335248,-0.7095234
raNatira,8,-6.472687,5.238264749,6.442966526,-0.719187444
raNatirataNa,12,-9.059112,4.975706664,5.687560115,-0.696854769
raNi,4,-3.87362,5.952837125,9.298330956,-0.774724
raNinui,7,-7.2524,8.063990361,10.86568581,-0.90655
reo,3,-4.013806,10.07979037,21.77385534,-1.0034515
rima,4,-3.886281,5.987647156,9.366347145,-0.7772562
riNariNa,8,-6.262314,4.963781621,6.064419702,-0.695812667
roto,4,-3.921254,6.084862936,9.556822063,-0.7842508
rua,3,-3.102015,5.963534691,10.81446402,-0.77550375
tahi,4,-3.097303,4.163519471,5.947380848,-0.6194606
taiaha,6,-5.068906,5.298213179,6.995482374,-0.724129429
taihoa,6,-5.37989,5.868886549,7.882216027,-0.768555714
tamariki,8,-6.127138,4.79504968,5.833003674,-0.680793111
tAne,4,-3.746915,5.615429769,8.644278491,-0.749383
tANata,6,-4.497124,4.389815683,5.617210082,-0.642446286
taNatafenua,11,-9.517714,6.210732629,7.332409768,-0.793142833
taNi,4,-3.714255,5.531602956,8.483278992,-0.742851
tanifa,6,-5.928933,7.03056825,9.730955802,-0.846990429
taoNa,5,-4.329308,5.266854651,7.342798322,-0.721551333
tapu,4,-3.298033,4.566743297,6.675875826,-0.6596066
tariNa,6,-4.257799,4.05748572,5.124283708,-0.608257
teina,5,-4.592602,5.826847698,8.289348527,-0.765433667
tekau,5,-4.488772,5.599234632,7.902316139,-0.748128667
tEnAkoe,7,-6.612639,6.707796445,8.803648905,-0.826579875
tEnAkoutou,10,-9.453184,7.234030969,8.816950447,-0.859380364
tikaNa,6,-4.736031,4.748712283,6.156565439,-0.676575857
tiki,4,-3.197132,4.359396789,6.299165226,-0.6394264
tohuNa,6,-4.663764,4.637159135,5.988168329,-0.666252
toru,4,-3.770761,5.677435382,8.763755446,-0.7541522
tuakana,7,-5.4447,4.792780063,5.995346467,-0.6805875
tupuna,6,-4.749912,4.770444605,6.18944916,-0.678558857
turituri,8,-6.981515,5.966558305,7.459150589,-0.775723889
upoko,5,-5.57496,8.494933823,13.03142773,-0.92916
utu,3,-3.601088,7.948258808,15.86217243,-0.900272
waewae,6,-6.613266,8.805464808,12.65350963,-0.944752286
waha,4,-3.512419,5.040618163,7.552743747,-0.7024838
wAhitapu,8,-6.595698,5.405742237,6.675168761,-0.732855333
wahine,6,-5.166955,5.471878286,7.263721203,-0.738136429
wai,3,-3.142431,6.103904779,11.15519073,-0.78560775
waiata,6,-5.259587,5.641174985,7.526582621,-0.751369571
waka,4,-3.494917,5.000154226,7.477032184,-0.6989834
wAnaNa,6,-4.769743,4.801665,6.236733212,-0.681391857
waru,4,-3.857119,5.907773005,9.210426687,-0.7714238
faea,4,-3.638998,5.34317748,8.123618127,-0.7277996
fakapapa,8,-6.536023,5.323837338,6.5614961,-0.726224778
fakaroNo,8,-7.503363,6.818785045,8.668029386,-0.833707
fanau,5,-4.810126,6.334140125,9.162736555,-0.801687667
fANai,5,-4.859096,6.454302757,9.371717742,-0.809849333
fare,4,-3.703408,5.504040235,8.430474129,-0.7406816
fenua,5,-5.198325,7.351695319,10.95632736,-0.8663875
fero,4,-4.085213,6.562096308,10.50275537,-0.8170426
fitu,4,-4.123934,6.680159006,10.73948609,-0.8247868
ahatiati,8,-7.576629,6.947805733,8.852758663,-0.841847667
ahiahake,8,-7.364477,6.580747421,8.328362596,-0.818275222
amu,3,-3.43712,7.232359408,13.98642326,-0.85928
ape,3,-4.043544,10.25382733,22.27655349,-1.010886
apEhia,6,-6.273944,7.875492356,11.10854896,-0.896277714
arane,5,-4.864298,6.467200618,9.394195631,-0.810716333
ario,4,-4.870522,9.421160445,16.50556898,-0.9741044
eha,3,-3.788978,8.856140543,18.32283483,-0.9472445
eko,3,-3.987465,9.928102448,21.33806334,-0.99686625
