item,length,logprob,ppl,ppl1,score
ako,3,-3.570785,7.810812,15.4975,-0.89269625
aoraki,6,-7.195767,10.66514,15.82321,-1.027966714
aotearoa,8,-9.890132,12.55751,17.22925,-1.098903556
aroha,5,-6.015156,10.05833,15.95994,-1.002526
atua,4,-3.216176,4.397796,6.368599,-0.6432352
awa,3,-4.039232,10.22841,22.20295,-1.009808
haeremai,8,-6.357953,5.086736,6.233675,-0.706439222
haka,4,-3.806964,5.772884,8.94831,-0.7613928
haNi,4,-4.055455,6.472783,10.32438,-0.811091
hapU,4,-5.165785,10.79337,19.56349,-1.033157
hIkoi,5,-5.68115,8.848269,13.68453,-0.946858333
hOhA,4,-5.109526,10.51732,18.94006,-1.0219052
hoki,4,-2.704826,3.475084,4.744676,-0.5409652
hoNi,4,-5.492934,12.54835,23.61747,-1.0985868
hope,4,-6.064256,16.32493,32.81437,-1.2128512
hui,3,-3.32773,6.790982,12.86007,-0.8319325
ihu,3,-4.715675,15.09798,37.3157,-1.17891875
iti,3,-4.564628,13.84067,33.23095,-1.141157
iwa,3,-3.827773,9.056142,18.87662,-0.95694325
iwi,3,-2.613592,4.501922,7.433568,-0.653398
kaha,4,-3.815932,5.796775,8.994624,-0.7631864
kahuraNi,8,-6.956236,5.928095,7.405076,-0.772915111
kai,3,-2.732633,4.821235,8.144749,-0.68315825
kaimoana,8,-8.514314,8.831509,11.5955,-0.946034889
kAiNa,5,-3.594206,3.97223,5.234091,-0.599034333
kaitiaki,8,-7.912784,7.571783,9.752095,-0.879198222
kaifakahaere,12,-8.389125,4.418932,5.001425,-0.645317308
kAkAriki,8,-8.685711,9.227393,12.18187,-0.965079
kapahaka,8,-7.090697,6.135575,7.697278,-0.787855222
karakia,7,-6.473025,6.443593,8.408487,-0.809128125
karaNa,6,-4.092519,3.84278,4.809351,-0.584645571
karu,4,-4.138707,6.725762,10.83121,-0.8277414
katoa,5,-4.459525,5.53674,7.796594,-0.743254167
kaumAtua,8,-6.781992,5.669629,7.042858,-0.753554667
kaupapa,7,-5.118069,4.362733,5.384591,-0.639758625
kAwanataNa,10,-7.609722,4.918049,5.767295,-0.691792909
kiakaha,7,-6.39653,6.303274,8.199549,-0.79956625
kiaora,6,-7.025114,10.08295,14.82014,-1.003587714
koha,4,-4.797974,9.111603,15.83046,-0.9595948
kOhaNa,6,-5.447652,6.001171,8.089878,-0.778236
kOrero,6,-3.615091,3.284291,4.004195,-0.516441571
koro,4,-3.695964,5.485205,8.394428,-0.7391928
korowai,7,-6.995938,7.490181,9.986648,-0.87449225
koru,4,-4.079582,6.545102,10.46877,-0.8159164
kOfai,5,-5.944965,9.79101,15.45229,-0.9908275
kuia,4,-4.385069,7.533795,12.48151,-0.8770138
kura,4,-3.588347,5.219987,7.890177,-0.7176694
kurI,4,-5.405083,12.05082,22.45281,-1.0810166
mahi,4,-2.634808,3.364817,4.55724,-0.5269616
mana,4,-2.941974,3.876098,5.438679,-0.5883948
manuhiri,8,-8.467766,8.726957,11.44118,-0.940862889
mAori,5,-3.147995,3.347078,4.261857,-0.524665833
marae,5,-4.996696,6.804287,9.984795,-0.832782667
matariki,8,-6.399454,5.141034,6.308583,-0.711050444
mate,4,-3.886975,5.989562,9.370091,-0.777395
mauI,4,-6.139933,16.90389,34.27546,-1.2279866
mauNa,5,-4.636495,5.92583,8.45861,-0.772749167
mAfero,6,-7.908328,13.48221,20.79958,-1.129761143
mere,4,-4.340605,7.381097,12.16609,-0.868121
mihi,4,-3.756231,5.639572,8.690759,-0.7512462
moana,5,-4.881765,6.510698,9.470067,-0.8136275
moko,4,-4.145167,6.7458,10.87156,-0.8290334
mokopuna,8,-6.971113,5.9507,7.436851,-0.774568111
mOrena,6,-7.513456,11.83998,17.87486,-1.073350857
motu,4,-4.544195,8.106603,13.67882,-0.908839
noho,4,-3.703081,5.503211,8.428887,-0.7406162
nui,3,-3.032516,5.729662,10.25271,-0.758129
ono,3,-4.27347,11.70489,26.57602,-1.0683675
ora,3,-3.833071,9.083803,18.95354,-0.95826775
pai,3,-2.960171,5.495951,9.698929,-0.74004275
pAkehA,6,-5.498671,6.102733,8.249832,-0.785524429
paNo,4,-6.425233,19.27732,40.3932,-1.2850466
papa,4,-3.617752,5.291155,8.024872,-0.7235504
papatUAnuku,11,-11.7662,9.561285,11.73962,-0.980516667
poi,3,-4.146521,10.88003,24.10869,-1.03663025
pokohiwi,8,-9.502085,11.3707,15.40851,-1.055787222
pounamu,7,-9.272511,14.42327,21.11759,-1.159063875
pOfiri,6,-6.092635,7.41953,10.36189,-0.870376429
puke,4,-4.838576,9.283575,16.20482,-0.9677152
puku,4,-4.094473,6.590139,10.55889,-0.8188946
raNatira,8,-6.364976,5.095884,6.246287,-0.707219556
raNatirataNa,12,-9.288017,5.181588,5.942941,-0.714462846
raNi,4,-3.827185,5.826892,9.053077,-0.765437
raNinui,7,-8.697468,12.22316,17.47815,-1.0871835
reo,3,-3.232712,6.429511,11.95558,-0.808178
rima,4,-5.39316,11.98483,22.29923,-1.078632
riNariNa,8,-7.473736,6.767296,8.594429,-0.830415111
roto,4,-3.596773,5.240281,7.92854,-0.7193546
rua,3,-2.848241,5.153002,8.900487,-0.71206025
tahi,4,-2.65752,3.400197,4.617214,-0.531504
taiaha,6,-6.900106,9.676749,14.12595,-0.985729429
taihoa,6,-6.160482,7.586979,10.63523,-0.880068857
tamariki,8,-6.082521,4.740625,5.758576,-0.675835667
tAne,4,-4.565739,8.187434,13.84952,-0.9131478
tANata,6,-5.166954,5.471877,7.26372,-0.738136286
taNatafenua,11,-8.421639,5.032726,5.829128,-0.70180325
taNi,4,-3.3938,4.772654,7.054235,-0.67876
tanifa,6,-9.162107,20.36444,33.65254,-1.308872429
taoNa,5,-4.520745,5.668361,8.019532,-0.7534575
tapu,4,-4.554301,8.144419,13.75863,-0.9108602
tariNa,6,-5.36602,5.842172,7.840373,-0.766574286
teina,5,-6.725832,13.2121,22.13943,-1.120972
tekau,5,-4.175559,4.965083,6.840877,-0.6959265
tEnAkoe,7,-7.154324,7.839538,10.52074,-0.8942905
tEnAkoutou,10,-8.860491,6.389975,7.692174,-0.805499182
tikaNa,6,-5.209225,5.548492,7.382512,-0.744175
tiki,4,-3.351453,4.680482,6.884355,-0.6702906
tohuNa,6,-5.515952,6.137524,8.304727,-0.787993143
toru,4,-5.052629,10.24533,18.32978,-1.0105258
tuakana,7,-7.096212,7.709504,10.32154,-0.8870265
tupuna,6,-5.344788,5.801512,7.776748,-0.763541143
turituri,8,-8.338114,8.44223,11.0221,-0.926457111
upoko,5,-6.87778,14.00544,23.74412,-1.146296667
utu,3,-4.08352,10.49252,22.97065,-1.02088
waewae,6,-6.550959,8.626832,12.35454,-0.935851286
waha,4,-4.233815,7.026888,11.44073,-0.846763
wAhitapu,8,-8.52751,8.861376,11.63962,-0.947501111
wahine,6,-6.144807,7.547959,10.57145,-0.877829571
wai,3,-2.660316,4.624651,7.704987,-0.665079
waiata,6,-6.713096,9.09942,13.14769,-0.959013714
waka,4,-3.868791,5.939614,9.272519,-0.7737582
wAnaNa,6,-5.253608,5.630092,7.509334,-0.750515429
waru,4,-4.746702,8.898985,15.37006,-0.9493404
faea,4,-4.434003,7.705495,12.8381,-0.8868006
fakapapa,8,-5.118741,3.704666,4.363577,-0.568749
fakaroNo,8,-5.426268,4.007916,4.767421,-0.602918667
fanau,5,-5.230143,7.442016,11.11805,-0.8716905
fANai,5,-5.504349,8.26783,12.61449,-0.9173915
fare,4,-3.700092,5.49564,8.414395,-0.7400184
fenua,5,-3.858362,4.396027,5.911155,-0.643060333
fero,4,-4.361355,7.451967,12.31229,-0.872271
fitu,4,-4.694324,8.686899,14.91355,-0.9388648
ahatiati,8,-9.701465,11.96577,16.31861,-1.077940556
ahiahake,8,-7.530106,6.8656,8.735007,-0.836678444
amu,3,-5.675594,26.23605,77.95869,-1.4188985
ape,3,-6.827177,50.90897,188.6799,-1.70679425
apEhia,6,-9.257746,21.01528,34.91063,-1.322535143
arane,5,-7.205326,15.88136,27.60992,-1.200887667
ario,4,-5.479203,12.46926,23.43154,-1.0958406
eha,3,-4.535295,13.60892,32.49114,-1.13382375
eko,3,-5.413125,22.55699,63.73455,-1.35328125
haeo,4,-6.187968,17.28198,35.23643,-1.2375936
hakaatU,7,-7.462953,8.567796,11.64491,-0.932869125
hAno,4,-8.533949,50.90843,135.9838,-1.7067898
hepaua,6,-7.315952,11.09522,16.57011,-1.045136
hepiti,6,-7.496592,11.77448,17.75955,-1.070941714
hewe,4,-5.62279,13.32165,25.45057,-1.124558
hiamu,5,-7.949745,21.13283,38.89995,-1.3249575
hiNi,4,-5.839399,14.71905,28.83033,-1.1678798
hiu,3,-8.268567,116.7191,570.4125,-2.06714175
hoeNaima,8,-10.10687,13.2735,18.33829,-1.122985556
hoihoko,7,-8.071977,10.20933,14.22786,-1.008997125
hOke,4,-7.16074,27.0488,61.68576,-1.432148
horetI,6,-10.74188,34.24164,61.70404,-1.534554286
